iter	Passed	Remaining
0	914	9146352
1	1845	9228131
2	2687	8956536
3	3562	8902685
4	4446	8889481
5	5329	8877408
6	6123	8741606
7	6916	8638788
8	7805	8664858
9	8707	8698838
10	9592	8710897
11	10389	8647295
12	11278	8664394
13	12164	8676542
14	12959	8626429
15	13842	8637690
16	14634	8593614
17	15521	8607371
18	16401	8616209
19	17292	8629020
20	18183	8640737
21	19065	8646973
22	19952	8655173
23	20745	8623199
24	21536	8593221
25	22429	8604192
26	23313	8611298
27	24197	8617913
28	24989	8592129
29	25880	8600936
30	26768	8608324
31	27565	8586761
32	28452	8593638
33	29340	8600263
34	30127	8577851
35	30917	8557406
36	31816	8567291
37	32703	8573399
38	33495	8555064
39	34386	8562192
40	35267	8566638
41	36149	8570987
42	37034	8575754
43	37923	8580951
44	38811	8585931
45	39611	8571619
46	40495	8575539
47	41302	8563447
48	42193	8568655
49	43070	8571065
50	43867	8557604
51	44746	8560283
52	45631	8564153
53	46426	8551044
54	47314	8555255
55	48199	8558830
56	49076	8560809
57	49865	8547644
58	50752	8551330
59	51535	8537793
60	52329	8526223
61	53119	8514572
62	53912	8503618
63	54705	8493015
64	55597	8497847
65	56477	8500716
66	57361	8504028
67	58145	8492689
68	59029	8495955
69	59911	8498879
70	60793	8501672
71	61685	8505694
72	62479	8496322
73	63361	8498977
74	64238	8500958
75	65122	8503601
76	66012	8507095
77	66898	8509835
78	67690	8500701
79	68570	8502695
80	69363	8493985
81	70152	8485002
82	71039	8487928
83	71925	8490647
84	72809	8493071
85	73695	8495582
86	74581	8497989
87	75371	8489568
88	76166	8481822
89	76950	8473117
90	77846	8476664
91	78728	8478724
92	79521	8471184
93	80409	8473795
94	81291	8475691
95	82085	8468445
96	82970	8470714
97	83849	8472173
98	84726	8473513
99	85516	8466112
100	86311	8459359
101	87094	8451578
102	87982	8454048
103	88765	8446413
104	89648	8448334
105	90528	8449863
106	91319	8443198
107	92213	8446031
108	93100	8448197
109	93893	8441902
110	94685	8435573
111	95573	8437756
112	96367	8431770
113	97249	8433378
114	98039	8427120
115	98917	8428477
116	99709	8422438
117	100593	8424262
118	101471	8425513
119	102353	8427142
120	103241	8429088
121	104132	8431315
122	104921	8425299
123	105804	8426838
124	106693	8428765
125	107577	8430317
126	108373	8424937
127	109163	8419214
128	109944	8412877
129	110838	8415194
130	111724	8416888
131	112606	8418216
132	113488	8419467
133	114372	8420855
134	115264	8422828
135	116054	8417388
136	116942	8418973
137	117817	8419648
138	118608	8414345
139	119402	8409319
140	120280	8410282
141	121075	8405381
142	121962	8406859
143	122849	8408343
144	123728	8409295
145	124610	8410336
146	125392	8404707
147	126275	8405853
148	127162	8407242
149	128044	8408266
150	128934	8409746
151	129812	8410514
152	130705	8412113
153	131572	8412119
154	132456	8413097
155	133242	8407969
156	134131	8409245
157	135012	8410077
158	135797	8404896
159	136598	8400782
160	137377	8395400
161	138255	8396024
162	139136	8396874
163	140021	8397867
164	140811	8393202
165	141598	8388422
166	142393	8384146
167	143281	8385395
168	144161	8386114
169	144961	8382159
170	145841	8382926
171	146740	8384679
172	147526	8380019
173	148409	8380869
174	149285	8381288
175	150075	8376926
176	150964	8378077
177	151749	8373505
178	152533	8368897
179	153416	8369717
180	154304	8370786
181	155182	8371333
182	155963	8366643
183	156844	8367314
184	157718	8367583
185	158599	8368253
186	159479	8368848
187	160357	8369301
188	161239	8369973
189	162120	8370561
190	162999	8371013
191	163894	8372272
192	164778	8372987
193	165568	8368903
194	166459	8369944
195	167250	8365944
196	168139	8366871
197	169020	8367367
198	169900	8367806
199	170789	8368702
200	171676	8369455
201	172562	8370127
202	173441	8370496
203	174235	8366725
204	175019	8362525
205	175904	8363138
206	176788	8363700
207	177568	8359357
208	178461	8360369
209	179343	8360842
210	180138	8357217
211	181022	8357785
212	181809	8353862
213	182600	8350150
214	183475	8350284
215	184354	8350598
216	185235	8350951
217	186115	8351272
218	186898	8347280
219	187692	8343770
220	188579	8344427
221	189363	8340544
222	190254	8341337
223	191137	8341778
224	191930	8338333
225	192717	8334590
226	193596	8334895
227	194385	8331313
228	195269	8331771
229	196051	8327912
230	196933	8328332
231	197815	8328720
232	198691	8328820
233	199570	8329083
234	200449	8329320
235	201327	8329510
236	202116	8325993
237	202999	8326395
238	203784	8322759
239	204666	8323087
240	205539	8323078
241	206426	8323612
242	207313	8324092
243	208111	8321054
244	208901	8317683
245	209789	8318226
246	210672	8318587
247	211558	8319012
248	212437	8319177
249	213328	8319815
250	214204	8319827
251	214994	8316534
252	215876	8316798
253	216752	8316797
254	217544	8313598
255	218420	8313622
256	219302	8313886
257	220186	8314155
258	221072	8314531
259	221959	8314945
260	222847	8315380
261	223738	8315902
262	224530	8312742
263	225318	8309472
264	226205	8309853
265	226982	8306198
266	227866	8306442
267	228660	8303431
268	229537	8303457
269	230429	8304001
270	231314	8304260
271	232090	8300641
272	232878	8297481
273	233762	8297706
274	234652	8298158
275	235442	8295082
276	236322	8295181
277	237106	8291903
278	237978	8291700
279	238862	8291953
280	239746	8292151
281	240629	8292347
282	241515	8292584
283	242295	8289234
284	243172	8289180
285	244059	8289486
286	244941	8289594
287	245818	8289533
288	246695	8289466
289	247480	8286331
290	248357	8286281
291	249239	8286368
292	250030	8283434
293	250820	8280505
294	251694	8280320
295	252586	8280728
296	253468	8280815
297	254257	8277880
298	255140	8277995
299	256026	8278198
300	256815	8275250
301	257705	8275577
302	258580	8275435
303	259373	8272656
304	260252	8272603
305	261138	8272806
306	262025	8272999
307	262912	8273194
308	263702	8270373
309	264584	8270407
310	265471	8270601
311	266264	8267859
312	267060	8265218
313	267935	8265047
314	268819	8265132
315	269707	8265342
316	270495	8262500
317	271375	8262451
318	272250	8262255
319	273043	8259563
320	273910	8259139
321	274701	8256398
322	275582	8256378
323	276466	8256443
324	277342	8256260
325	278134	8253605
326	279012	8253477
327	279803	8250803
328	280681	8250658
329	281492	8248580
330	282370	8248449
331	283264	8248799
332	284143	8248696
333	285022	8248583
334	285812	8245903
335	286696	8245951
336	287580	8245958
337	288528	8247818
338	289422	8248127
339	290305	8248088
340	291094	8245388
341	291877	8242544
342	292761	8242550
343	293640	8242428
344	294537	8242794
345	295321	8239988
346	296197	8239756
347	297087	8239915
348	297961	8239620
349	298850	8239733
350	299737	8239790
351	300626	8239893
352	301414	8237228
353	302203	8234622
354	303083	8234487
355	303958	8234205
356	304754	8231779
357	305643	8231888
358	306517	8231562
359	307307	8229011
360	308192	8229000
361	308973	8226209
362	309755	8223446
363	310631	8223210
364	311421	8220668
365	312205	8217997
366	313091	8218003
367	313877	8215391
368	314754	8215184
369	315654	8215554
370	316443	8213019
371	317240	8210723
372	318023	8208075
373	318813	8205605
374	319698	8205600
375	320491	8203226
376	321373	8203123
377	322274	8203494
378	323154	8203360
379	324035	8203206
380	324826	8200796
381	325625	8198597
382	326494	8198172
383	327373	8197977
384	328253	8197805
385	329142	8197863
386	330025	8197769
387	330904	8197550
388	331690	8195051
389	332568	8194837
390	333450	8194703
391	334331	8194522
392	335122	8192171
393	336005	8192047
394	336884	8191831
395	337769	8191762
396	338562	8189458
397	339350	8187037
398	340236	8186998
399	341123	8186952
400	342007	8186851
401	342900	8186973
402	343690	8184606
403	344578	8184599
404	345453	8184255
405	346246	8182000
406	347136	8182025
407	348032	8182169
408	348817	8179724
409	349616	8177611
410	350492	8177306
411	351275	8174832
412	352160	8174724
413	352949	8172399
414	353820	8171971
415	354703	8171832
416	355576	8171437
417	356371	8169270
418	357154	8166809
419	358047	8166902
420	358830	8164469
421	359713	8164302
422	360501	8161994
423	361387	8161901
424	362268	8161704
425	363060	8159496
426	363947	8159421
427	364740	8157243
428	365627	8157149
429	366417	8154919
430	367307	8154910
431	368099	8152731
432	368889	8150500
433	369776	8150410
434	370667	8150418
435	371547	8150179
436	372336	8147950
437	373220	8147801
438	374007	8145515
439	374887	8145283
440	375772	8145136
441	376663	8145126
442	377552	8145067
443	378429	8144764
444	379307	8144461
445	380098	8142298
446	380975	8141957
447	381753	8139527
448	382634	8139283
449	383421	8137061
450	384307	8136924
451	385100	8134824
452	385986	8134677
453	386775	8132502
454	387555	8130147
455	388438	8129944
456	389316	8129642
457	390109	8127558
458	390993	8127374
459	391883	8127317
460	392770	8127189
461	393640	8126723
462	394512	8126281
463	395398	8126115
464	396287	8126030
465	397079	8123940
466	397967	8123819
467	398856	8123727
468	399651	8121697
469	400441	8119595
470	401236	8117594
471	402029	8115536
472	402811	8113293
473	403700	8113190
474	404577	8112850
475	405460	8112617
476	406346	8112457
477	407233	8112305
478	408033	8110406
479	408922	8110289
480	409702	8108021
481	410590	8107884
482	411375	8105717
483	412253	8105386
484	413139	8105191
485	413929	8103142
486	414722	8101133
487	415520	8099241
488	416394	8098821
489	417180	8096715
490	417972	8094702
491	418855	8094462
492	419729	8094046
493	420608	8093740
494	421482	8093306
495	422361	8092999
496	423256	8092975
497	424138	8092691
498	424929	8090695
499	425806	8090315
500	426695	8090185
501	427561	8089600
502	428348	8087516
503	429233	8087296
504	430023	8085298
505	430900	8084925
506	431786	8084716
507	432666	8084397
508	433552	8084178
509	434437	8083942
510	435222	8081848
511	436111	8081685
512	437003	8081578
513	437894	8081462
514	438774	8081115
515	439647	8080650
516	440535	8080466
517	441319	8078362
518	442212	8078258
519	442997	8076193
520	443880	8075905
521	444757	8075500
522	445641	8075236
523	446437	8073363
524	447220	8071264
525	448003	8069170
526	448881	8068790
527	449763	8068491
528	450640	8068087
529	451429	8066113
530	452316	8065878
531	453102	8063862
532	453988	8063618
533	454776	8061641
534	455560	8059581
535	456443	8059299
536	457323	8058944
537	458120	8057132
538	458989	8056580
539	459877	8056380
540	460660	8054314
541	461553	8054200
542	462351	8052404
543	463223	8051915
544	464022	8050157
545	464804	8048103
546	465581	8045957
547	466369	8044020
